,sentence,Agent,Role,Team,embedded
170,I'm convinced Agent[03] is the MEDIUM.,Agent[03],MEDIUM,,"[-0.00197907 -0.00795205 -0.01426599 ... -0.02727555  0.02627359
  0.01758995]"
171,I'm convinced Agent[03] is the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.01333229  0.00290052 -0.03287376 ... -0.01103001  0.0325947
 -0.00692777]"
172,I'm convinced Agent[03] is the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.01360128 -0.00259914 -0.02931182 ...  0.01163492  0.01364211
  0.01657465]"
173,I'm convinced Agent[03] is the POSSESSED.,Agent[03],POSSESSED,,"[-0.03221978  0.01427389 -0.05549422 ...  0.01149227  0.03227499
 -0.00392049]"
174,I'm convinced Agent[04] is the VILLAGER.,Agent[04],VILLAGER,,"[-0.02665065 -0.00564674 -0.05438681 ... -0.01667231  0.01198235
  0.02079168]"
175,I'm convinced Agent[04] is the SEER.,Agent[04],SEER,,"[-0.01783723 -0.00672758 -0.04455242 ... -0.01837381  0.01788601
  0.00580889]"
176,I'm convinced Agent[04] is the MEDIUM.,Agent[04],MEDIUM,,"[ 0.00146566 -0.0028536  -0.01492163 ... -0.03051281  0.02297229
  0.01472235]"
177,I'm convinced Agent[04] is the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.01006969  0.01121018 -0.04022312 ... -0.01766368  0.02959709
 -0.01156484]"
178,I'm convinced Agent[04] is the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.00946979  0.0089171  -0.03564145 ...  0.00551337  0.0106493
  0.01019772]"
179,I'm convinced Agent[04] is the POSSESSED.,Agent[04],POSSESSED,,"[-0.03001098  0.02321656 -0.06211255 ...  0.00528493  0.0290207
 -0.01016412]"
180,I believe Agent[00] is the VILLAGER.,Agent[00],VILLAGER,,"[-0.0250828  -0.00341255 -0.0167818  ... -0.02415381  0.00943227
  0.03050692]"
181,I believe Agent[00] is the SEER.,Agent[00],SEER,,"[-0.01557673 -0.01341124 -0.00734953 ... -0.024657    0.01163128
  0.00515123]"
182,I believe Agent[00] is the MEDIUM.,Agent[00],MEDIUM,,"[-8.65390612e-05 -2.46266159e-03  3.07225492e-02 ... -4.04218920e-02
  1.76945329e-02  1.39119476e-02]"
183,I believe Agent[00] is the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.00213807  0.0097942   0.00332609 ... -0.02820016  0.03099638
 -0.0091472 ]"
184,I believe Agent[00] is the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.00986998  0.00607855  0.00526687 ... -0.00709585  0.00792917
  0.01420613]"
185,I believe Agent[00] is the POSSESSED.,Agent[00],POSSESSED,,"[-0.02908109  0.01955297 -0.02068189 ... -0.00282043  0.03007454
 -0.00550162]"
186,I believe Agent[01] is the VILLAGER.,Agent[01],VILLAGER,,"[-0.02797165 -0.00162498 -0.01199202 ... -0.01847735  0.00474349
  0.02452449]"
187,I believe Agent[01] is the SEER.,Agent[01],SEER,,"[-0.02033707 -0.00926306  0.00066558 ... -0.02144287  0.01183525
  0.0022757 ]"
188,I believe Agent[01] is the MEDIUM.,Agent[01],MEDIUM,,"[-0.00067105  0.00384988  0.03122855 ... -0.037916    0.01725546
  0.00847435]"
189,I believe Agent[01] is the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.00379638  0.01218689  0.00533844 ... -0.02700917  0.02793512
 -0.01344048]"
190,I believe Agent[01] is the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.01023477  0.01004806  0.00623076 ...  0.00046636  0.00630337
  0.0095294 ]"
191,I believe Agent[01] is the POSSESSED.,Agent[01],POSSESSED,,"[-0.03090724  0.02414996 -0.02049221 ...  0.00135513  0.02970268
 -0.00712086]"
192,I believe Agent[02] is the VILLAGER.,Agent[02],VILLAGER,,"[-0.02406939 -0.00074039 -0.02220007 ... -0.01744705  0.00617675
  0.02764865]"
193,I believe Agent[02] is the SEER.,Agent[02],SEER,,"[-0.01687001 -0.00695988 -0.00914658 ... -0.0204359   0.0133361
  0.00517693]"
194,I believe Agent[02] is the MEDIUM.,Agent[02],MEDIUM,,"[ 0.00636338  0.00423333  0.01928899 ... -0.03573282  0.01804997
  0.01161775]"
195,I believe Agent[02] is the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.00141866  0.01294667 -0.00795913 ... -0.02530739  0.02834874
 -0.00997507]"
196,I believe Agent[02] is the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.00693019  0.01142885 -0.00458721 ... -0.0004972   0.00781903
  0.01450743]"
197,I believe Agent[02] is the POSSESSED.,Agent[02],POSSESSED,,"[-0.02637158  0.02467998 -0.02894513 ...  0.00178648  0.02956682
 -0.0046772 ]"
198,I believe Agent[03] is the VILLAGER.,Agent[03],VILLAGER,,"[-0.02799263 -0.00082587 -0.01712574 ... -0.01008452  0.0156328
  0.02810747]"
199,I believe Agent[03] is the SEER.,Agent[03],SEER,,"[-0.01967191 -0.00625451 -0.00637856 ... -0.01637458  0.02032817
  0.00683875]"
200,I believe Agent[03] is the MEDIUM.,Agent[03],MEDIUM,,"[ 0.0027609   0.00388149  0.02324642 ... -0.03112918  0.0257349
  0.0118937 ]"
201,I believe Agent[03] is the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.00918842  0.01517174  0.00189997 ... -0.02049025  0.04058861
 -0.00376144]"
202,I believe Agent[03] is the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.01145497  0.00894115  0.00747185 ...  0.00718634  0.01995742
  0.01679599]"
203,I believe Agent[03] is the POSSESSED.,Agent[03],POSSESSED,,"[-0.02742295  0.02423826 -0.02174526 ...  0.00656753  0.03913859
 -0.00293431]"
204,I believe Agent[04] is the VILLAGER.,Agent[04],VILLAGER,,"[-0.02434971  0.01007082 -0.01922871 ... -0.01917165  0.01872945
  0.0218962 ]"
205,I believe Agent[04] is the SEER.,Agent[04],SEER,,"[-0.01676273  0.00151873 -0.01122727 ... -0.02045303  0.02009338
  0.00295341]"
206,I believe Agent[04] is the MEDIUM.,Agent[04],MEDIUM,,"[ 0.00519916  0.01141149  0.02414847 ... -0.03367074  0.02568727
  0.00719503]"
207,I believe Agent[04] is the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.00537236  0.02712352 -0.00420835 ... -0.02774341  0.04099523
 -0.0113095 ]"
208,I believe Agent[04] is the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.00929779  0.02577377  0.00070512 ...  0.00044991  0.01921859
  0.01218261]"
209,I believe Agent[04] is the POSSESSED.,Agent[04],POSSESSED,,"[-0.02548506  0.03344646 -0.02579951 ... -0.00019117  0.03896369
 -0.00945506]"
210,Agent[00]'s behavior looks like the VILLAGER.,Agent[00],VILLAGER,,"[-0.0314749   0.01000001 -0.04470019 ... -0.01956241 -0.01813615
  0.03173422]"
211,Agent[00]'s behavior looks like the SEER.,Agent[00],SEER,,"[-0.03037233 -0.00124053 -0.02716865 ... -0.01606315 -0.01829141
  0.0084119 ]"
212,Agent[00]'s behavior looks like the MEDIUM.,Agent[00],MEDIUM,,"[-0.01274799  0.01263684  0.01525313 ... -0.03124156 -0.00165014
  0.01460333]"
213,Agent[00]'s behavior looks like the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.03129892  0.01827214 -0.01563371 ... -0.02400582  0.00648189
 -0.0081122 ]"
214,Agent[00]'s behavior looks like the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.03470622  0.01411159 -0.01915667 ... -0.0046998  -0.01806803
  0.01928665]"
215,Agent[00]'s behavior looks like the POSSESSED.,Agent[00],POSSESSED,,"[-5.15777655e-02  3.06738615e-02 -4.13954370e-02 ... -2.95398477e-03
 -4.72402135e-05  3.57451988e-03]"
216,Agent[01]'s behavior looks like the VILLAGER.,Agent[01],VILLAGER,,"[-0.03147422  0.00762842 -0.04335309 ... -0.01599326 -0.02375775
  0.02756796]"
217,Agent[01]'s behavior looks like the SEER.,Agent[01],SEER,,"[-0.03288911 -0.00331206 -0.02954143 ... -0.0120819  -0.02537465
  0.00558687]"
218,Agent[01]'s behavior looks like the MEDIUM.,Agent[01],MEDIUM,,"[-0.01203936  0.00829118  0.00888519 ... -0.02399505 -0.00970511
  0.01239911]"
219,Agent[01]'s behavior looks like the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.03547937  0.01167204 -0.02232648 ... -0.01901548 -0.00174188
 -0.00991782]"
220,Agent[01]'s behavior looks like the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.03255677  0.00696913 -0.02004463 ...  0.00150394 -0.02639525
  0.01592382]"
221,Agent[01]'s behavior looks like the POSSESSED.,Agent[01],POSSESSED,,"[-0.05183421  0.02576393 -0.04160216 ...  0.00349429 -0.00687753
  0.00033363]"
222,Agent[02]'s behavior looks like the VILLAGER.,Agent[02],VILLAGER,,"[-0.0260629   0.00778068 -0.05269862 ... -0.0128962  -0.02461496
  0.03016805]"
223,Agent[02]'s behavior looks like the SEER.,Agent[02],SEER,,"[-0.02562386 -0.00269482 -0.03773183 ... -0.00964414 -0.02629261
  0.00953855]"
224,Agent[02]'s behavior looks like the MEDIUM.,Agent[02],MEDIUM,,"[-0.00832247  0.00371398  0.00372932 ... -0.02352039 -0.01076045
  0.01324228]"
225,Agent[02]'s behavior looks like the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.02546519  0.01121555 -0.0293144  ... -0.01692145 -0.0031473
 -0.00611723]"
226,Agent[02]'s behavior looks like the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.0245329   0.00742011 -0.02978995 ...  0.0032661  -0.02889813
  0.01860307]"
227,Agent[02]'s behavior looks like the POSSESSED.,Agent[02],POSSESSED,,"[-0.04429106  0.02657766 -0.04937364 ...  0.00479517 -0.00828945
  0.00464769]"
228,Agent[03]'s behavior looks like the VILLAGER.,Agent[03],VILLAGER,,"[-0.02929018  0.00845813 -0.04241595 ... -0.00542338 -0.01835727
  0.03301803]"
229,Agent[03]'s behavior looks like the SEER.,Agent[03],SEER,,"[-0.02800979 -0.0010252  -0.03072323 ... -0.00530873 -0.0211824
  0.01218426]"
230,Agent[03]'s behavior looks like the MEDIUM.,Agent[03],MEDIUM,,"[-0.00952685  0.00580217  0.01353404 ... -0.01748038 -0.00366819
  0.01553329]"
231,Agent[03]'s behavior looks like the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.02749027  0.01192142 -0.01756447 ... -0.01090492  0.0049928
 -0.00179102]"
232,Agent[03]'s behavior looks like the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.02737252  0.00719902 -0.01754689 ...  0.01134204 -0.02109031
  0.02279239]"
233,Agent[03]'s behavior looks like the POSSESSED.,Agent[03],POSSESSED,,"[-0.04500015  0.02490387 -0.03648984 ...  0.01199656 -0.00127841
  0.00826396]"
234,Agent[04]'s behavior looks like the VILLAGER.,Agent[04],VILLAGER,,"[-0.02666349  0.01371243 -0.05115164 ... -0.01791551 -0.01532063
  0.02683441]"
235,Agent[04]'s behavior looks like the SEER.,Agent[04],SEER,,"[-0.0285244   0.00320443 -0.0354162  ... -0.01358346 -0.01877842
  0.00712675]"
236,Agent[04]'s behavior looks like the MEDIUM.,Agent[04],MEDIUM,,"[-0.00734712  0.01090858  0.00807149 ... -0.02688771 -0.0011717
  0.00993414]"
237,Agent[04]'s behavior looks like the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.02395229  0.02030157 -0.02640094 ... -0.0209397   0.00667073
 -0.00891162]"
238,Agent[04]'s behavior looks like the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.02594584  0.01696577 -0.02573167 ...  0.00030047 -0.01921461
  0.01615496]"
239,Agent[04]'s behavior looks like the POSSESSED.,Agent[04],POSSESSED,,"[-0.04211047  0.03311225 -0.04537714 ...  0.00023943 -0.000158
  0.00211963]"
240,"Anya, I think Agent[00] is the VILLAGER.",Agent[00],VILLAGER,,"[-0.01409005 -0.00279215 -0.01652339 ... -0.03100686  0.01951043
  0.0306863 ]"
241,"Anya, I think Agent[00] is the SEER.",Agent[00],SEER,,"[-0.00397408 -0.01735588 -0.00585801 ... -0.03072975  0.02213113
  0.00592543]"
242,"Anya, I think Agent[00] is the MEDIUM.",Agent[00],MEDIUM,,"[ 0.00715146 -0.00311024  0.02308833 ... -0.04717984  0.02342273
  0.01779884]"
243,"Anya, I think Agent[00] is the BODYGUARD.",Agent[00],BODYGUARD,,"[ 0.00555745  0.0091131  -0.0090921  ... -0.03351268  0.03516452
 -0.00793721]"
244,"Anya, I think Agent[00] is the WEREWOLF.",Agent[00],WEREWOLF,,"[ 6.36784462e-05  4.88567771e-03  2.20320956e-03 ... -3.46514187e-03
  2.28389055e-02  1.17573477e-02]"
245,"Anya, I think Agent[00] is the POSSESSED.",Agent[00],POSSESSED,,"[-0.01651892  0.02217532 -0.02612917 ... -0.00638807  0.03647108
 -0.0047805 ]"
246,"Anya, I think Agent[01] is the VILLAGER.",Agent[01],VILLAGER,,"[-0.01779049  0.00092172 -0.01631856 ... -0.02505105  0.01447866
  0.02059281]"
247,"Anya, I think Agent[01] is the SEER.",Agent[01],SEER,,"[-0.00983448 -0.00719331 -0.00450553 ... -0.02512219  0.01895428
  0.00084818]"
248,"Anya, I think Agent[01] is the MEDIUM.",Agent[01],MEDIUM,,"[ 0.00535828  0.00885122  0.02225239 ... -0.04084726  0.02310094
  0.00830259]"
249,"Anya, I think Agent[01] is the BODYGUARD.",Agent[01],BODYGUARD,,"[ 0.00325746  0.01438571 -0.01022999 ... -0.02920529  0.02991034
 -0.01438571]"
250,"Anya, I think Agent[01] is the WEREWOLF.",Agent[01],WEREWOLF,,"[-0.00563049  0.01355245 -0.0015492  ...  0.00311314  0.02161845
  0.00261719]"
251,"Anya, I think Agent[01] is the POSSESSED.",Agent[01],POSSESSED,,"[-0.0194568   0.02728092 -0.02837105 ... -0.00204917  0.0341667
 -0.01001818]"
252,"Anya, I think Agent[02] is the VILLAGER.",Agent[02],VILLAGER,,"[-0.01848904  0.00245677 -0.02185951 ... -0.02209531  0.02124922
  0.02245593]"
253,"Anya, I think Agent[02] is the SEER.",Agent[02],SEER,,"[-0.0075113  -0.00423705 -0.01078938 ... -0.02533823  0.02079936
  0.00388364]"
254,"Anya, I think Agent[02] is the MEDIUM.",Agent[02],MEDIUM,,"[ 0.0084793   0.01158501  0.01640969 ... -0.04001306  0.02555347
  0.01121666]"
255,"Anya, I think Agent[02] is the BODYGUARD.",Agent[02],BODYGUARD,,"[ 0.00750484  0.01786166 -0.01816962 ... -0.02884109  0.03039428
 -0.0122983 ]"
256,"Anya, I think Agent[02] is the WEREWOLF.",Agent[02],WEREWOLF,,"[-0.0032559   0.01563089 -0.00866298 ...  0.0028483   0.02288994
  0.00736256]"
257,"Anya, I think Agent[02] is the POSSESSED.",Agent[02],POSSESSED,,"[-0.01833789  0.02846193 -0.03288267 ... -0.00170894  0.03487473
 -0.00648443]"
258,"Anya, I think Agent[03] is the VILLAGER.",Agent[03],VILLAGER,,"[-0.02210209  0.00255222 -0.01676144 ... -0.02017124  0.02715517
  0.02388231]"
259,"Anya, I think Agent[03] is the SEER.",Agent[03],SEER,,"[-0.008654   -0.00504753 -0.00775902 ... -0.02457401  0.02566619
  0.0052599 ]"
260,"Anya, I think Agent[03] is the MEDIUM.",Agent[03],MEDIUM,,"[ 0.0070176   0.00945537  0.0198195  ... -0.0395236   0.03029181
  0.01203739]"
261,"Anya, I think Agent[03] is the BODYGUARD.",Agent[03],BODYGUARD,,"[ 0.00107451  0.01787294 -0.01012444 ... -0.02630887  0.03959011
 -0.01033801]"
262,"Anya, I think Agent[03] is the WEREWOLF.",Agent[03],WEREWOLF,,"[-0.00361626  0.01210565 -0.00475097 ...  0.00461918  0.02882725
  0.00851188]"
263,"Anya, I think Agent[03] is the POSSESSED.",Agent[03],POSSESSED,,"[-0.01876197  0.02793991 -0.02934773 ...  0.00091204  0.04082692
 -0.00599002]"
264,"Anya, I think Agent[04] is the VILLAGER.",Agent[04],VILLAGER,,"[-0.01949479  0.00870376 -0.02170483 ... -0.02578387  0.02601579
  0.02051796]"
265,"Anya, I think Agent[04] is the SEER.",Agent[04],SEER,,"[-0.00717638 -0.00096823 -0.0105138  ... -0.02706134  0.02562833
  0.0022438 ]"
266,"Anya, I think Agent[04] is the MEDIUM.",Agent[04],MEDIUM,,"[ 0.00949295  0.01252292  0.01836694 ... -0.03952635  0.03002621
  0.00955052]"
267,"Anya, I think Agent[04] is the BODYGUARD.",Agent[04],BODYGUARD,,"[ 0.00728937  0.02422741 -0.01796238 ... -0.03114009  0.03764303
 -0.01545109]"
268,"Anya, I think Agent[04] is the WEREWOLF.",Agent[04],WEREWOLF,,"[-0.00311511  0.02230706 -0.00780299 ...  0.00106426  0.02847001
  0.00504183]"
269,"Anya, I think Agent[04] is the POSSESSED.",Agent[04],POSSESSED,,"[-0.01772287  0.03460822 -0.03358159 ... -0.00271348  0.03952523
 -0.01027305]"
270,Agent[00] is definitely the VILLAGER.,Agent[00],VILLAGER,,"[-0.04502016  0.02076141 -0.03045855 ... -0.02417926  0.01362368
  0.03993313]"
271,Agent[00] is definitely the SEER.,Agent[00],SEER,,"[-0.04676282  0.00670872 -0.00984944 ... -0.02149609  0.02232422
  0.0184655 ]"
272,Agent[00] is definitely the MEDIUM.,Agent[00],MEDIUM,,"[-0.019736    0.00412529  0.02099208 ... -0.03510151  0.02202448
  0.02353866]"
273,Agent[00] is definitely the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.03108435  0.02675357 -0.01798216 ... -0.02606315  0.02782057
  0.00589206]"
274,Agent[00] is definitely the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.04169231  0.02242884 -0.00834299 ... -0.01028742  0.0100161
  0.02889522]"
275,Agent[00] is definitely the POSSESSED.,Agent[00],POSSESSED,,"[-0.05819293  0.04380887 -0.03142606 ...  0.00078907  0.0270483
  0.0076259 ]"
276,Agent[01] is definitely the VILLAGER.,Agent[01],VILLAGER,,"[-0.04505197  0.02124681 -0.02959265 ... -0.01531112  0.00748786
  0.03363298]"
277,Agent[01] is definitely the SEER.,Agent[01],SEER,,"[-0.04086113  0.01005354  0.00239846 ... -0.01605502  0.0234611
  0.01387576]"
278,Agent[01] is definitely the MEDIUM.,Agent[01],MEDIUM,,"[-0.01568445  0.00986213  0.01376867 ... -0.02518842  0.02050724
  0.01815832]"
279,Agent[01] is definitely the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.03643816  0.02538406 -0.02705938 ... -0.01863791  0.01899691
 -0.00068948]"
280,Agent[01] is definitely the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.04299344  0.02456552 -0.01188971 ... -0.00085601  0.00702196
  0.02498881]"
281,Agent[01] is definitely the POSSESSED.,Agent[01],POSSESSED,,"[-0.05721332  0.04191596 -0.03262828 ...  0.00672674  0.0223997
  0.00158399]"
282,Agent[02] is definitely the VILLAGER.,Agent[02],VILLAGER,,"[-0.03554129  0.02173703 -0.04006984 ... -0.0127424   0.00881505
  0.03778995]"
283,Agent[02] is definitely the SEER.,Agent[02],SEER,,"[-0.0347686   0.01133205 -0.00525858 ... -0.01485475  0.02407318
  0.01813128]"
284,Agent[02] is definitely the MEDIUM.,Agent[02],MEDIUM,,"[-0.00485773  0.0104564   0.00199388 ... -0.02294414  0.02021349
  0.02028009]"
285,Agent[02] is definitely the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.02636958  0.02614674 -0.03722939 ... -0.01931293  0.01947635
  0.00409286]"
286,Agent[02] is definitely the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.03290833  0.02389091 -0.02419199 ...  0.00139533  0.00709426
  0.02949104]"
287,Agent[02] is definitely the POSSESSED.,Agent[02],POSSESSED,,"[-0.04659423  0.04164831 -0.04264352 ...  0.00924345  0.02210587
  0.00683834]"
288,Agent[03] is definitely the VILLAGER.,Agent[03],VILLAGER,,"[-0.03714241  0.0218421  -0.02813584 ... -0.00628987  0.01759459
  0.04033579]"
289,Agent[03] is definitely the SEER.,Agent[03],SEER,,"[-0.0365715   0.01203414  0.0030661  ... -0.00960343  0.03126658
  0.02036678]"
290,Agent[03] is definitely the MEDIUM.,Agent[03],MEDIUM,,"[-0.00679564  0.01071605  0.01612778 ... -0.01968051  0.02938031
  0.02177911]"
291,Agent[03] is definitely the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.02694725  0.02680008 -0.02368002 ... -0.01179586  0.0304941
  0.00671106]"
292,Agent[03] is definitely the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.03405792  0.02313    -0.00837957 ...  0.0086344   0.0177335
  0.03321846]"
293,Agent[03] is definitely the POSSESSED.,Agent[03],POSSESSED,,"[-0.04632931  0.04155835 -0.02850573 ...  0.01407283  0.03276658
  0.00933938]"
294,Agent[04] is definitely the VILLAGER.,Agent[04],VILLAGER,,"[-0.03285712  0.03041358 -0.03411731 ... -0.0195483   0.0185801
  0.03467056]"
295,Agent[04] is definitely the SEER.,Agent[04],SEER,,"[-0.03365691  0.01854736 -0.00222828 ... -0.01958708  0.03149361
  0.01562942]"
296,Agent[04] is definitely the MEDIUM.,Agent[04],MEDIUM,,"[-0.00346438  0.01655205  0.01165441 ... -0.02840302  0.02961514
  0.01755942]"
297,Agent[04] is definitely the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.02083292  0.03781167 -0.0308917  ... -0.02160667  0.03132967
  0.00108581]"
298,Agent[04] is definitely the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.02933764  0.03453054 -0.01688061 ... -0.0023283   0.01600773
  0.0269853 ]"
299,Agent[04] is definitely the POSSESSED.,Agent[04],POSSESSED,,"[-0.04091607  0.05202058 -0.03597741 ...  0.00393596  0.03148772
  0.00338037]"
300,I guess Agent[00] is the VILLAGER.,Agent[00],VILLAGER,,"[-0.03302181  0.00592652 -0.01309612 ... -0.03515697 -0.00652247
  0.03925179]"
301,I guess Agent[00] is the SEER.,Agent[00],SEER,,"[-0.02328017 -0.01262038 -0.00569268 ... -0.03257371  0.00127844
  0.01404066]"
302,I guess Agent[00] is the MEDIUM.,Agent[00],MEDIUM,,"[-0.01096415 -0.00095093  0.02980241 ... -0.05825587  0.0014215
  0.02329294]"
303,I guess Agent[00] is the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.00831093  0.01412277  0.00427897 ... -0.03864875  0.01730476
 -0.00218671]"
304,I guess Agent[00] is the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.02053863  0.00961383  0.00775309 ... -0.01812812 -0.00626238
  0.0251059 ]"
305,I guess Agent[00] is the POSSESSED.,Agent[00],POSSESSED,,"[-0.04304094  0.02669628 -0.0189477  ... -0.01374162  0.01456642
  0.00724916]"
306,I guess Agent[01] is the VILLAGER.,Agent[01],VILLAGER,,"[-0.0371704   0.00213093 -0.00894843 ... -0.02684529 -0.01039834
  0.03327469]"
307,I guess Agent[01] is the SEER.,Agent[01],SEER,,"[-0.02948263 -0.0121459  -0.00059642 ... -0.02960809 -0.00208182
  0.01143236]"
308,I guess Agent[01] is the MEDIUM.,Agent[01],MEDIUM,,"[-0.01225423  0.0040312   0.03433019 ... -0.04987363  0.00057896
  0.01374585]"
309,I guess Agent[01] is the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.01148231  0.0121071   0.00765024 ... -0.03565486  0.01262082
 -0.00536281]"
310,I guess Agent[01] is the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.02481569  0.0114955   0.01205643 ... -0.0099006  -0.00562273
  0.01874693]"
311,I guess Agent[01] is the POSSESSED.,Agent[01],POSSESSED,,"[-0.04511529  0.02563101 -0.01691088 ... -0.00932304  0.01241847
  0.00286014]"
312,I guess Agent[02] is the VILLAGER.,Agent[02],VILLAGER,,"[-0.03310958  0.00337982 -0.02213554 ... -0.02536574 -0.01112545
  0.04052174]"
313,I guess Agent[02] is the SEER.,Agent[02],SEER,,"[-0.02428112 -0.00979478 -0.01311926 ... -0.02707741 -0.00139426
  0.01688649]"
314,I guess Agent[02] is the MEDIUM.,Agent[02],MEDIUM,,"[-0.0071138   0.00681802  0.02187227 ... -0.04914436  0.00177181
  0.01946056]"
315,I guess Agent[02] is the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.01167479  0.01253415 -0.00779717 ... -0.03272574  0.01470003
  0.00468808]"
316,I guess Agent[02] is the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.01698746  0.01286136 -0.00226097 ... -0.0104595  -0.00829916
  0.02772203]"
317,I guess Agent[02] is the POSSESSED.,Agent[02],POSSESSED,,"[-0.03931573  0.02551922 -0.02746341 ... -0.00889284  0.01254359
  0.00792075]"
318,I guess Agent[03] is the VILLAGER.,Agent[03],VILLAGER,,"[-3.41523252e-02  4.44109272e-03 -1.44953821e-02 ... -1.79794356e-02
 -1.83841385e-05  4.09197025e-02]"
319,I guess Agent[03] is the SEER.,Agent[03],SEER,,"[-0.02605878 -0.00814239 -0.00921191 ... -0.02124985  0.00729537
  0.01779929]"
320,I guess Agent[03] is the MEDIUM.,Agent[03],MEDIUM,,"[-0.00602195  0.00517047  0.02789436 ... -0.04207271  0.01239064
  0.01968016]"
321,I guess Agent[03] is the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.01181668  0.0141758   0.00154028 ... -0.02687715  0.02617503
  0.00651216]"
322,I guess Agent[03] is the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.02094552  0.0126914   0.00950169 ... -0.0010402   0.00527347
  0.0296717 ]"
323,I guess Agent[03] is the POSSESSED.,Agent[03],POSSESSED,,"[-0.03855468  0.02531585 -0.01877533 ... -0.00299774  0.02358032
  0.00816131]"
324,I guess Agent[04] is the VILLAGER.,Agent[04],VILLAGER,,"[-3.06160599e-02  1.57727636e-02 -2.53490843e-02 ... -2.57293191e-02
 -2.87432649e-05  3.51788960e-02]"
325,I guess Agent[04] is the SEER.,Agent[04],SEER,,"[-0.02334526  0.00049434 -0.01598759 ... -0.02795913  0.00679051
  0.0124927 ]"
326,I guess Agent[04] is the MEDIUM.,Agent[04],MEDIUM,,"[-0.00226375  0.01435476  0.0235309  ... -0.04624413  0.01076607
  0.01552071]"
327,I guess Agent[04] is the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.00770608  0.02666484 -0.01099098 ... -0.03440535  0.02531507
 -0.00061204]"
328,I guess Agent[04] is the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.01849568  0.02724181 -0.00095343 ... -0.00860375  0.00619348
  0.02387895]"
329,I guess Agent[04] is the POSSESSED.,Agent[04],POSSESSED,,"[-0.03653577  0.03750323 -0.02908065 ... -0.01053533  0.02246495
  0.00146008]"
330,Possibly  Agent[00] is a VILLAGER.,Agent[00],VILLAGER,,"[-0.04472618  0.00392268 -0.01110538 ... -0.0428372  -0.00725506
  0.04207552]"
331,Possibly  Agent[00] is a SEER.,Agent[00],SEER,,"[-0.03212013 -0.01104964 -0.00670282 ... -0.03753893 -0.00210862
  0.01796842]"
332,Possibly  Agent[00] is a MEDIUM.,Agent[00],MEDIUM,,"[-0.02260872 -0.00312628  0.03482154 ... -0.05479179 -0.00300976
  0.02905481]"
333,Possibly  Agent[00] is a BODYGUARD.,Agent[00],BODYGUARD,,"[-0.02671972  0.01228139  0.01590565 ... -0.03991085  0.01369001
  0.0113203 ]"
334,Possibly  Agent[00] is a WEREWOLF.,Agent[00],WEREWOLF,,"[-0.03282882  0.0124959   0.00398835 ... -0.02286841 -0.01151802
  0.0243492 ]"
335,Possibly  Agent[00] is a POSSESSED.,Agent[00],POSSESSED,,"[-0.0553827   0.02782183 -0.01631035 ... -0.01823859  0.007597
  0.00459227]"
336,Possibly  Agent[01] is a VILLAGER.,Agent[01],VILLAGER,,"[-0.04637255  0.00593741 -0.00797584 ... -0.03718106 -0.0100291
  0.03590611]"
